['H82', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['G5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5'] 
['H83', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['B4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4'] 
['H84', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['C#4', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3'] 
['H85', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['C4', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2'] 
['H86', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['G4', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2'] 
['H87', 'C31', 'C37'] [0, 1, 1] ['C6', 'F4', 'E5'] 
['H88', 'C31', 'C37'] [0, 1, 1] ['G5', 'F4', 'E5'] 
['H89', 'C31', 'C37'] [0, 1, 1] ['G5', 'F4', 'E5'] 
['H1', 'C2', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C#5', 'D#4', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H22', 'C9', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C#5', 'C#4', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H23', 'C9', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D5', 'C#4', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H24', 'C9', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C#5', 'C#4', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H25', 'C10', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['A4', 'F3', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H26', 'C10', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['A4', 'F3', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H27', 'C10', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['F#4', 'F3', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H28', 'C12', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['A#4', 'G#3', 'C3', 'A#2', 'A2', 'E2'] 
['H29', 'C12', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['A4', 'G#3', 'C3', 'A#2', 'A2', 'E2'] 
['H30', 'C12', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['C5', 'G#3', 'C3', 'A#2', 'A2', 'E2'] 
['H31', 'C13', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['G4', 'D#3', 'C3', 'A#2', 'A2', 'E2'] 
['H32', 'C13', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['F#4', 'D#3', 'C3', 'A#2', 'A2', 'E2'] 
['H33', 'C13', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['A4', 'D#3', 'C3', 'A#2', 'A2', 'E2'] 
['H34', 'C14', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['E4', 'A2', 'C3', 'A#2', 'A2', 'E2'] 
['H35', 'C14', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#4', 'A2', 'C3', 'A#2', 'A2', 'E2'] 
['H36', 'C14', 'Si4', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#4', 'A2', 'C3', 'A#2', 'A2', 'E2'] 
['H37', 'C15', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['F#4', 'A#2', 'B2', 'A#2', 'A2', 'E2'] 
['H38', 'C15', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#4', 'A#2', 'B2', 'A#2', 'A2', 'E2'] 
['H39', 'C15', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#4', 'A#2', 'B2', 'A#2', 'A2', 'E2'] 
['H40', 'C16', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#4', 'A#2', 'B2', 'A#2', 'A2', 'E2'] 
['H41', 'C16', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#4', 'A#2', 'B2', 'A#2', 'A2', 'E2'] 
['H42', 'C16', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['F#4', 'A#2', 'B2', 'A#2', 'A2', 'E2'] 
['H43', 'C17', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['G#4', 'F#3', 'B2', 'A#2', 'A2', 'E2'] 
['H44', 'C17', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['A#4', 'F#3', 'B2', 'A#2', 'A2', 'E2'] 
['H45', 'C17', 'Si5', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['A#4', 'F#3', 'B2', 'A#2', 'A2', 'E2'] 
['H46', 'C18', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['E5', 'G#4', 'G#3', 'A#2', 'A2', 'E2'] 
['H47', 'C18', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['F5', 'G#4', 'G#3', 'A#2', 'A2', 'E2'] 
['H48', 'C18', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D#5', 'G#4', 'G#3', 'A#2', 'A2', 'E2'] 
['H49', 'C19', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D5', 'G4', 'G#3', 'A#2', 'A2', 'E2'] 
['H50', 'C19', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['F5', 'G4', 'G#3', 'A#2', 'A2', 'E2'] 
['H51', 'C19', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['E5', 'G4', 'G#3', 'A#2', 'A2', 'E2'] 
['H52', 'C20', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['B4', 'C#4', 'G#3', 'A#2', 'A2', 'E2'] 
['H53', 'C20', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['D5', 'C#4', 'G#3', 'A#2', 'A2', 'E2'] 
['H54', 'C20', 'Si6', 'C11', 'In2', 'I2'] [0, 1, 2, 3, 4, 5] ['B4', 'C#4', 'G#3', 'A#2', 'A2', 'E2'] 
['H55', 'C22', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['C6', 'G5', 'F4', 'B2', 'D#3', 'A#2'] 
['H56', 'C22', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A5', 'G5', 'F4', 'B2', 'D#3', 'A#2'] 
['H57', 'C22', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A5', 'G5', 'F4', 'B2', 'D#3', 'A#2'] 
['H58', 'C23', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['G5', 'F5', 'F4', 'B2', 'D#3', 'A#2'] 
['H59', 'C23', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['G5', 'F5', 'F4', 'B2', 'D#3', 'A#2'] 
['H60', 'C23', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A#5', 'F5', 'F4', 'B2', 'D#3', 'A#2'] 
['H61', 'C24', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['B5', 'G5', 'F4', 'B2', 'D#3', 'A#2'] 
['H62', 'C24', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A5', 'G5', 'F4', 'B2', 'D#3', 'A#2'] 
['H63', 'C24', 'Si10', 'Si7?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['G#5', 'G5', 'F4', 'B2', 'D#3', 'A#2'] 
['H64', 'C25', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['F5', 'G4', 'A3', 'F#2', 'D#3', 'A#2'] 
['H65', 'C25', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['D#5', 'G4', 'A3', 'F#2', 'D#3', 'A#2'] 
['H66', 'C25', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['D5', 'G4', 'A3', 'F#2', 'D#3', 'A#2'] 
['H67', 'C26', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['D5', 'F#4', 'A3', 'F#2', 'D#3', 'A#2'] 
['H68', 'C26', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['D5', 'F#4', 'A3', 'F#2', 'D#3', 'A#2'] 
['H69', 'C26', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['F5', 'F#4', 'A3', 'F#2', 'D#3', 'A#2'] 
['H70', 'C27', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A4', 'G#3', 'A3', 'F#2', 'D#3', 'A#2'] 
['H71', 'C27', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A4', 'G#3', 'A3', 'F#2', 'D#3', 'A#2'] 
['H72', 'C27', 'Si11', 'Si8?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A4', 'G#3', 'A3', 'F#2', 'D#3', 'A#2'] 
['H73', 'C28', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['C#5', 'F#4', 'A#3', 'C3', 'D#3', 'A#2'] 
['H74', 'C28', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['E5', 'F#4', 'A#3', 'C3', 'D#3', 'A#2'] 
['H75', 'C28', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['D#5', 'F#4', 'A#3', 'C3', 'D#3', 'A#2'] 
['H76', 'C29', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['F5', 'B4', 'A#3', 'C3', 'D#3', 'A#2'] 
['H77', 'C29', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['G5', 'B4', 'A#3', 'C3', 'D#3', 'A#2'] 
['H78', 'C29', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['F5', 'B4', 'A#3', 'C3', 'D#3', 'A#2'] 
['H79', 'C30', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['B4', 'A#3', 'A#3', 'C3', 'D#3', 'A#2'] 
['H80', 'C30', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['B4', 'A#3', 'A#3', 'C3', 'D#3', 'A#2'] 
['H81', 'C30', 'Si12', 'Si9?', 'C21', 'In3'] [0, 1, 2, 3, 3, 4] ['A4', 'A#3', 'A#3', 'C3', 'D#3', 'A#2'] 
